id,text_snippet,labels,cleaned_text,lemmatized_text,normalized_text
1,Our data pipeline outperforms CompetitorZ and offers better budget options.,"Security, Objection, Competition",data pipeline outperforms CompetitorZ offers better budget options .,data pipeline outperforms CompetitorZ offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
2,Our analytics outperforms CompetitorX and offers better discount options.,"Security, Objection",analytics outperforms CompetitorX offers better discount options .,analytics outperforms CompetitorX offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
3,Our analytics outperforms CompetitorX and offers better discount options.,"Security, Pricing Discussion",analytics outperforms CompetitorX offers better discount options .,analytics outperforms CompetitorX offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
4,Our data pipeline outperforms CompetitorX and offers better pricing model options.,Pricing Discussion,data pipeline outperforms CompetitorX offers better pricing model options .,data pipeline outperforms CompetitorX offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
5,Our AI engine outperforms CompetitorZ and offers better discount options.,"Objection, Competition, Pricing Discussion",AI engine outperforms CompetitorZ offers better discount options .,AI engine outperforms CompetitorZ offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
6,Our AI engine outperforms CompetitorZ and offers better pricing model options.,Competition,AI engine outperforms CompetitorZ offers better pricing model options .,AI engine outperforms CompetitorZ offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
7,Our analytics outperforms CompetitorX and offers better budget options.,Security,analytics outperforms CompetitorX offers better budget options .,analytics outperforms CompetitorX offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
8,Our analytics outperforms CompetitorX and offers better pricing model options.,"Security, Competition",analytics outperforms CompetitorX offers better pricing model options .,analytics outperforms CompetitorX offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
9,Our data pipeline outperforms CompetitorY and offers better renewal cost options.,"Security, Pricing Discussion",data pipeline outperforms CompetitorY offers better renewal cost options .,data pipeline outperforms CompetitorY offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
10,Our data pipeline outperforms CompetitorX and offers better budget options.,"Objection, Security",data pipeline outperforms CompetitorX offers better budget options .,data pipeline outperforms CompetitorX offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
11,Our AI engine outperforms CompetitorY and offers better pricing model options.,"Objection, Security, Competition",AI engine outperforms CompetitorY offers better pricing model options .,AI engine outperforms CompetitorY offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
12,Our data pipeline outperforms CompetitorY and offers better discount options.,"Security, Objection",data pipeline outperforms CompetitorY offers better discount options .,data pipeline outperforms CompetitorY offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
13,Our analytics outperforms CompetitorX and offers better discount options.,"Objection, Competition",analytics outperforms CompetitorX offers better discount options .,analytics outperforms CompetitorX offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
14,Our data pipeline outperforms CompetitorX and offers better discount options.,Competition,data pipeline outperforms CompetitorX offers better discount options .,data pipeline outperforms CompetitorX offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
15,Our analytics outperforms CompetitorZ and offers better pricing model options.,"Pricing Discussion, Competition",analytics outperforms CompetitorZ offers better pricing model options .,analytics outperforms CompetitorZ offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
16,Our data pipeline outperforms CompetitorZ and offers better renewal cost options.,Pricing Discussion,data pipeline outperforms CompetitorZ offers better renewal cost options .,data pipeline outperforms CompetitorZ offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
17,Our data pipeline outperforms CompetitorZ and offers better renewal cost options.,"Pricing Discussion, Objection, Security",data pipeline outperforms CompetitorZ offers better renewal cost options .,data pipeline outperforms CompetitorZ offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
18,Our AI engine outperforms CompetitorX and offers better renewal cost options.,"Objection, Pricing Discussion, Security",AI engine outperforms CompetitorX offers better renewal cost options .,AI engine outperforms CompetitorX offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
19,Our data pipeline outperforms CompetitorZ and offers better pricing model options.,Objection,data pipeline outperforms CompetitorZ offers better pricing model options .,data pipeline outperforms CompetitorZ offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
20,Our analytics outperforms CompetitorZ and offers better renewal cost options.,"Security, Competition, Objection",analytics outperforms CompetitorZ offers better renewal cost options .,analytics outperforms CompetitorZ offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
21,Our analytics outperforms CompetitorZ and offers better pricing model options.,Security,analytics outperforms CompetitorZ offers better pricing model options .,analytics outperforms CompetitorZ offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
